Easy
[What is the result of 96 + 26?, 150, 60], [122, 10, 1], [120, -10, 0], [112, -10, 0], [130, -10, 0]
[Calculate the quotient of (-4050) divided by (-90)., 150, 60], [45, 10, 1], [-45, -10, 0], [50, -10, 0], [-50, -10, 0]
[Find the result of (-825) divided by (-15)., 150, 60], [55, 10, 1], [-55, -10, 0], [60, -10, 0], [-60, -10, 0]
[What is the quotient of (-648) divided by (-36)?, 150, 60], [18, 10, 1], [-18, -10, 0], [20, -10, 0], [-20, -10, 0]
[Divide (-1280) by (-64)., 150, 60], [20, 10, 1], [-20, -10, 0], [25, -10, 0], [-25, -10, 0]
Hard
[From a rope 11 m long; two pieces of lengths 13/5 m and 33/10 m are cut off. What is the length of the remaining rope?, 180, 120], [51/10 m, 10, 1], [39/10 m, -10, 0], [27/10 m, -10, 0], [15/10 m, -10, 0]
[A drum full of rice weighs 241/6 kg. If the empty drum weighs 55/4 kg; find the weight of rice in the drum., 180, 120], [317/12 kg, 10, 1], [261/6 kg, -10, 0], [123/4 kg, -10, 0], [165/8 kg, -10, 0]
[A basket contains three types of fruits weighing 58/3 kg in all. If 73/9 kg of these are apples; 19/6 kg are oranges and the rest are pears. What is the weight of the pears in the basket?, 180, 120], [145/18 kg, 10, 1], [61/18 kg, -10, 0], [73/18 kg, -10, 0], [19/18 kg, -10, 0]
[On one day a rickshaw puller earned $80. Out of his earnings he spent $68/5 on tea and snacks; $51/2 on food and $22/5 on repairs of the rickshaw. How much did he save on that day?, 180, 120], [$73/2, 10, 1], [$72/5, -10, 0], [$75/2, -10, 0], [$76/5, -10, 0]
[Find the cost of 17/5 meters of cloth at $147/4 per meter., 180, 120], [$2499/20, 10, 1], [$253/5, -10, 0], [$73/4, -10, 0], [$365/4, -10, 0]
[A car is moving at an average speed of 202/5 km/hr. How much distance will it cover in 15/2 hours?, 180, 120], [303 km, 10, 1], [404 km, -10, 0], [202 km, -10, 0], [505 km, -10, 0]
[Find the area of a rectangular park which is 183/5 m long and 50/3 m broad., 180, 120], [610 m^2, 10, 1], [305 m^2, -10, 0], [366 m^2, -10, 0], [550 m^2, -10, 0]
[Find the area of a square plot of land whose each side measures 17/2 meters., 180, 120], [289/4 m^2, 10, 1], [144/4 m^2, -10, 0], [289/2 m^2, -10, 0], [144/2 m^2, -10, 0]
[One liter of petrol costs $187/4. What is the cost of 35 liters of petrol?, 180, 120], [$6545/4, 10, 1], [$6545/8, -10, 0], [$6545/16, -10, 0], [$6545/32, -10, 0]
[An airplane covers 1020 km in an hour. How much distance will it cover in 25/6 hours?, 180, 120], [4250 km, 10, 1], [3650 km, -10, 0], [3120 km, -10, 0], [2550 km, -10, 0]
[The cost of 7/2 meters of cloth is $231/4. What is the cost of one meter of cloth?, 180, 120], [$33/2, 10, 1], [$23/2, -10, 0], [$33/4, -10, 0], [$23/4, -10, 0]
[A cord of length 143/2 m has been cut into 26 pieces of equal length. What is the length of each piece?, 180, 120], [11/4 m, 10, 1], [143/52 m, -10, 0], [143/104 m, -10, 0], [11/8 m, -10, 0]
[The area of a room is 261/4 m^2. If its breadth is 87/16 meters; what is its length?, 180, 120], [12 m, 10, 1], [8 m, -10, 0], [10 m, -10, 0], [14 m, -10, 0]
[The product of two rational numbers is 48/5. If one of the rational numbers is 66/7; find the other rational number., 180, 120], [56/55, 10, 1], [72/7, -10, 0], [48/77, -10, 0], [60/11, -10, 0]
[Rita had $300. She spent 1/3 of her money on notebooks and 1/4 of the remainder on stationery items. How much money is left with her?, 180, 120], [$150, 10, 1], [$100, -10, 0], [$75, -10, 0], [$90, -10, 0]
[Adrian earns $16000 per month. He spends 1/4 of his income on food; 3/10 of the remainder on house rent and 5/21 of the remainder on the education of children. How much money is still left with him?, 180, 120], [$6400, 10, 1], [$5600, -10, 0], [$4800, -10, 0], [$7200, -10, 0]
[Find the principal square root of 81. Is this square root a rational or irrational number?, 180, 120], [√81 = 9; rational, 10, 1], [√81 = 9; irrational, -10, 0], [√81 = 81; rational, -10, 0], [√81 = 81; irrational, -10, 0]
[Find the principal square root of 100. Is this square root a rational or irrational number?, 180, 120], [√100 = 10; rational, 10, 1], [√100 = 10; irrational, -10, 0], [√100 = 100; rational, -10, 0], [√100 = 100; irrational, -10, 0]
[Find the principal square root of 2. Is this square root a rational or irrational number?, 180, 120], [√2; rational, -10, 0], [√2; irrational, 10, 1], [√2 = 2; rational, -10, 0], [√2 = 2; irrational, -10, 0]
[Find the principal square root of 144. Is this square root a rational or irrational number?, 180, 120], [√144 = 12; rational, 10, 1], [√144 = 12; irrational, -10, 0], [√144 = 144; rational, -10, 0], [√144 = 144; irrational, -10, 0]
[Find the principal square root of 50. Is this square root a rational or irrational number?, 180, 120], [√50; rational, -10, 0], [√50; irrational, -10, 1], [√50 = 5√2; rational, -10, 0], [√50 = 5√2; irrational, 10, 0]
[Find the principal square root of 121. Is this square root a rational or irrational number?, 180, 120], [√121 = 11; rational, 10, 1], [√121 = 11; irrational, -10, 0], [√121 = 121; rational, -10, 0], [√121 = 121; irrational, -10, 0]
[Find the principal square root of 75. Is this square root a rational or irrational number?, 180, 120], [√75; rational, -10, 0], [√75; irrational, -10, 1], [√75 = 5√3; rational, -10, 0], [√75 = 5√3; irrational, 10, 0]
[Find the principal square root of 169. Is this square root a rational or irrational number?, 180, 120], [√169 = 13; rational, 10, 1], [√169 = 13; irrational, -10, 0], [√169 = 169; rational, -10, 0], [√169 = 169; irrational, -10, 0]
[Find the principal square root of 3. Is this square root a rational or irrational number?, 180, 120], [√3; rational, -10, 0], [√3; irrational, 10, 1], [√3 = 3; rational, -10, 0], [√3 = 3; irrational, -10, 0]
[Find the principal square root of 64. Is this square root a rational or irrational number?, 180, 120], [√64 = 8; rational, 10, 1], [√64 = 8; irrational, -10, 0], [√64 = 64; rational, -10, 0], [√64 = 64; irrational, -10, 0]
[Find the principal square root of 36. Is this square root a rational or irrational number?, 180, 120], [√36 = 6; rational, 10, 1], [√36 = 6; irrational, -10, 0], [√36 = 36; rational, -10, 0], [√36 = 36; irrational, -10, 0]
[Find the principal square root of 5. Is this square root a rational or irrational number?, 180, 120], [√5; rational, -10, 0], [√5; irrational, 10, 1], [√5 = 5; rational, -10, 0], [√5 = 5; irrational, -10, 0]
[Find the principal square root of 225. Is this square root a rational or irrational number?, 180, 120], [√225 = 15; rational, 10, 1], [√225 = 15; irrational, -10, 0], [√225 = 225; rational, -10, 0], [√225 = 225; irrational, -10, 0]
[Find the principal square root of 10. Is this square root a rational or irrational number?, 180, 120], [√10; rational, -10, 0], [√10; irrational, 10, 1], [√10 = 10; rational, -10, 0], [√10 = 10; irrational, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) 3/8, 10, 1], [B) 0, -10, 0], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-3)/8, -10, 0], [B) 0, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-2)/9, -10, 0], [B) 0, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) 2/5, 10, 1], [B) 0, -10, 0], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-3)/4, -10, 0], [B) 1/4, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-4)/11, -10, 0], [B) 3/11, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-5)/7, -10, 0], [B) (-4)/7, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-7)/12, 10, 1], [B) 5/(-8), -10, 0], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) 2/3, -10, 0], [B) 3/4, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) 4/(-9), -10, 0], [B) (-3)/(-7), 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-1)/2, 10, 1], [B) -1, -10, 0], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) (-5)/8, 10, 1], [B) 3/(-4), -10, 0], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) 5/9, 10, 1], [B) (-3)/(-8), -10, 0], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Which of the following pairs of rational numbers is greater?, 180, 120], [A) 5/(-8), -10, 0], [B) (-7)/12, 10, 1], [C) Undefined, -10, 0], [D) Cannot be determined, -10, 0]
[Arrange the following rational numbers in descending order: -2 (-13)/6 8/(-3) 1/3, 180, 120], [A) 1/3 > -2 > (-13)/6 > 8/(-3), 10, 1], [B) -2 > 1/3 > 8/(-3) > (-13)/6, -10, 0], [C) (-13)/6 > 8/(-3) > 1/3 > -2, -10, 0], [D) 8/(-3) > (-13)/6 > -2 > 1/3, -10, 0]
[Arrange the following rational numbers in descending order: (-3)/(-5) 17/30 (-8)/15 7/(-10), 180, 120], [A) (-3)/(-5) > 17/30 > (-8)/15 > 7/(-10), 10, 1], [B) (-8)/15 > 7/(-10) > 17/30 > (-3)/(-5), -10, 0], [C) (-3)/(-5) > (-8)/15 > 7/(-10) > 17/30, -10, 0], [D) 7/(-10) > (-3)/(-5) > 17/30 > (-8)/15, -10, 0]
[Arrange the following rational numbers in descending order: (-3)/10 7/(-15) (-11)/20 17/(-30), 180, 120], [A) (-3)/10 > 7/(-15) > (-11)/20 > 17/(-30), 10, 1], [B) 7/(-15) > 17/(-30) > (-3)/10 > (-11)/20, -10, 0], [C) 17/(-30) > (-11)/20 > 7/(-15) > (-3)/10, -10, 0], [D) (-11)/20 > (-3)/10 > 7/(-15) > 17/(-30), -10, 0]
[Arrange the following rational numbers in descending order: 7/8 64/16 36/(-12) 5/(-4) 140/28, 180, 120], [A) 140/28 > 64/16 > 7/8 > 5/(-4) > 36/(-12), 10, 1], [B) 7/8 > 64/16 > 140/28 > 36/(-12) > 5/(-4), -10, 0], [C) 140/28 > 7/8 > 64/16 > 36/(-12) > 5/(-4), -10, 0], [D) 64/16 > 140/28 > 7/8 > 36/(-12) > 5/(-4), -10, 0]
[Arrange the following rational numbers in descending order: (-5)/6 (-7)/12 (-13)/18 23/(-24), 180, 120], [A) (-7)/12 > (-13)/18 > (-5)/6 > 23/(-24), 10, 1], [B) (-5)/6 > (-7)/12 > (-13)/18 > 23/(-24), -10, 0], [C) 23/(-24) > (-5)/6 > (-7)/12 > (-13)/18, -10, 0], [D) (-13)/18 > (-7)/12 > (-5)/6 > 23/(-24), -10, 0]
[Arrange the following rational numbers in descending order: (-3)/10 17/(-30) 7/(-15) (-11)/20, 180, 120], [A) (-3)/10 > 7/(-15) > (-11)/20 > 17/(-30), 10, 1], [B) 17/(-30) > (-11)/20 > (-3)/10 > 7/(-15), -10, 0], [C) (-3)/10 > (-11)/20 > 7/(-15) > 17/(-30), -10, 0], [D) 7/(-15) > (-3)/10 > 17/(-30) > (-11)/20, -10, 0]
[Arrange the following rational numbers in ascending order: (-3)/4 (-7)/16 5/(-12) 9/(-24), 180, 120], [A) (-3)/4 < (-7)/16 < 5/(-12) < 9/(-24), 10, 1], [B) 5/(-12) < (-7)/16 < (-3)/4 < 9/(-24), -10, 0], [C) (-7)/16 < (-3)/4 < 9/(-24) < 5/(-12), -10, 0], [D) 9/(-24) < 5/(-12) < (-3)/4 < (-7)/16, -10, 0]
[Arrange the following rational numbers in ascending order: 2/(-3) (-4)/9 5/(-12) 7/(-18), 180, 120], [A) 2/(-3) < (-4)/9 < 5/(-12) < 7/(-18), 10, 1], [B) (-4)/9 < 7/(-18) < 2/(-3) < 5/(-12), -10, 0], [C) 5/(-12) < (-4)/9 < 7/(-18) < 2/(-3), -10, 0], [D) 7/(-18) < 2/(-3) < (-4)/9 < 5/(-12), -10, 0]
[Arrange the following rational numbers in ascending order: (-11)/15 (-7)/10 (-13)/20 3/(-5), 180, 120], [A) (-11)/15 < (-7)/10 < (-13)/20 < 3/(-5), 10, 1], [B) (-13)/20 < (-7)/10 < (-11)/15 < 3/(-5), -10, 0], [C) (-7)/10 < 3/(-5) < (-11)/15 < (-13)/20, -10, 0], [D) 3/(-5) < (-11)/15 < (-13)/20 < (-7)/10, -10, 0]
[Arrange the following rational numbers in ascending order: (-8)/3 6/(-9) (-4)/7 2/3, 180, 120], [A) (-8)/3 < 6/(-9) < (-4)/7 < 2/3, 10, 1], [B) 6/(-9) < (-8)/3 < 2/3 < (-4)/7, -10, 0], [C) 2/3 < (-4)/7 < 6/(-9) < (-8)/3, -10, 0], [D) (-4)/7 < 2/3 < 6/(-9) < (-8)/3, -10, 0]
[Arrange the following rational numbers in ascending order: (-9)/14 (-4)/7 (-23)/42 13/(-28), 180, 120], [A) (-9)/14 < (-4)/7 < (-23)/42 < 13/(-28), 10, 1], [B) (-23)/42 < 13/(-28) < (-9)/14 < (-4)/7, -10, 0], [C) 13/(-28) < (-23)/42 < (-4)/7 < (-9)/14, -10, 0], [D) (-4)/7 < (-9)/14 < (-23)/42 < 13/(-28), -10, 0]
[Express the following number in scientific notation: 0.00125, 150, 60], [A) 1.25 x 10^-3, 10, 1], [B) 0.00125 x 10^0, -10, 0], [C) 1.25 x 10^3, -10, 0], [D) 0.125 x 10^-2, -10, 0]
[Express the following number in scientific notation: 2 000 000 000, 150, 60], [A) 2 x 10^9, 10, 1], [B) 20 x 10^8, -10, 0], [C) 2 x 10^10, -10, 0], [D) 200 x 10^7, -10, 0]
[Express the following number in scientific notation: 796 000, 150, 60], [A) 7.96 x 10^5, 10, 1], [B) 7.96 x 10^6, -10, 0], [C) 79.6 x 10^4, -10, 0], [D) 796 x 10^3, -10, 0]
[Express the following number in scientific notation: 872, 150, 60], [A) 8.72 x 10^2, 10, 1], [B) 87.2 x 10^1, -10, 0], [C) 872 x 10^0, -10, 0], [D) 0.872 x 10^3, -10, 0]
[Express the following number in scientific notation: 90, 150, 60], [A) 9 x 10^1, 10, 1], [B) 0.9 x 10^2, -10, 0], [C) 90 x 10^0, -10, 0], [D) 9 000 x 10^-2, -10, 0]
[Express the following number in scientific notation: 27 × 10^3, 150, 60], [A) 2.7 x 10^4, 10, 1], [B) 0.27 x 10^5, -10, 0], [C) 270 x 10^2, -10, 0], [D) 27 000 x 10^1, -10, 0]
[Express the following number in scientific notation: 281 x 10^2, 150, 60], [A) 2.81 x 10^4, 10, 1], [B) 281 x 10^0, -10, 0], [C) 0.281 x 10^3, -10, 0], [D) 28.1 x 10^3, -10, 0]
[Express the following number in scientific notation: 0.00179, 150, 60], [A) 1.79 x 10^-3, 10, 1], [B) 0.0179 x 10^-2, -10, 0], [C) 179 x 10^-4, -10, 0], [D) 0.179 x 10^-3, -10, 0]
[Express the following number in scientific notation: 0.0000763, 150, 60], [A) 7.63 x 10^-5, 10, 1], [B) 0.763 x 10^-4, -10, 0], [C) 76.3 x 10^-6, -10, 0], [D) 0.00763 x 10^-2, -10, 0]
[Express the following number in scientific notation: 367 x 10^-3, 150, 60], [A) 3.67 x 10^-1, 10, 1], [B) 0.0367 x 10^0, -10, 0], [C) 0.367 x 10^-2, -10, 0], [D) 36.7 x 10^-4, -10, 0]
[Find the square root of 169., 180, 120], [A) 13, 10, 1], [B) 14, -10, 0], [C) 15, -10, 0], [D) 16, -10, 0]
[Find the square root of 121., 180, 120], [A) 11, 10, 1], [B) 12, -10, 0], [C) 13, -10, 0], [D) 14, -10, 0]
[Find the square root of 225., 180, 120], [A) 15, 10, 1], [B) 16, -10, 0], [C) 17, -10, 0], [D) 18, -10, 0]
[Find the square root of 100., 180, 120], [A) 10, 10, 1], [B) 11, -10, 0], [C) 12, -10, 0], [D) 13, -10, 0]
[Find the square root of 1000., 180, 120], [A) 31.62, 10, 1], [B) 32.00, -10, 0], [C) 31.24, -10, 0], [D) 30.00, -10, 0]
[Find the square root of 150., 180, 120], [A) 12.25, 10, 1], [B) 12.50, -10, 0], [C) 11.61, -10, 0], [D) 12.00, -10, 0]
[Find the square root of 49., 180, 120], [A) 7, 10, 1], [B) 6, -10, 0], [C) 8, -10, 0], [D) 9, -10, 0]
[Find the square root of 64., 180, 120], [A) 8, 10, 1], [B) 9, -10, 0], [C) 7, -10, 0], [D) 6, -10, 0]
[Find the square root of 36., 180, 120], [A) 6, 10, 1], [B) 7, -10, 0], [C) 8, -10, 0], [D) 5, -10, 0]
[Find the square root of 25., 180, 120], [A) 5, 10, 1], [B) 6, -10, 0], [C) 4, -10, 0], [D) 3, -10, 0]
[Find the square root of 196., 180, 120], [A) 14, 10, 1], [B) 13, -10, 0], [C) 15, -10, 0], [D) 16, -10, 0]
[Find the square root of 144., 180, 120], [A) 12, 10, 1], [B) 11, -10, 0], [C) 13, -10, 0], [D) 14, -10, 0]
[Find the square root of 289., 180, 120], [A) 17, 10, 1], [B) 16, -10, 0], [C) 18, -10, 0], [D) 19, -10, 0]
[Find the square root of 9., 180, 120], [A) 3, 10, 1], [B) 2, -10, 0], [C) 4, -10, 0], [D) 5, -10, 0]
[Find the square root of 99., 180, 120], [A) 9.94, 10, 1], [B) 10.01, -10, 0], [C) 9.50, -10, 0], [D) 10.30, -10, 0]
[Which of the following represents a standard notation?, 180, 120], [A) 0.000023, 10, 1], [B) 2.3 x 1000, -10, 0], [C) 2.3 x 10^3, -10, 0], [D) 2.30 x 10^2, -10, 0]
[What is the standard notation of 1.06 x 10^4?, 180, 120], [A) 10 600, 10, 1], [B) 16 000, -10, 0], [C) 1 600 000, -10, 0], [D) 1 060 000, -10, 0]
[Earth’s approximate distance from the Sun is about 1.4956 x 10^8 km. Which of the following notations represents the distance?, 180, 120], [A) 149 560 000, 10, 1], [B) 1 495 600 000, -10, 0], [C) 14 956 000, -10, 0], [D) 1 495 600, -10, 0]
[It allows us to express a very small or very large number in a compact form., 180, 120], [A) Scientific Notation, 10, 1], [B) Standard form, -10, 0], [C) Real Numbers, -10, 0], [D) Standard Notation, -10, 0]
[Which of the following could not be expressed in scientific notation?, 180, 120], [A)  -0.000219, 10, 1], [B) 32 million, -10, 0], [C) 2.30000, -10, 0], [D) 2/3, -10, 0]
[In the given expression 7.03 x 10^-2; which of the following is the coefficient or the number part?, 180, 120], [A) 7.03, 10, 1], [B) 7, -10, 0], [C) -2, -10, 0], [D) 10, -10, 0]
[Which of the following represents 6.7 x 10^-2 in standard notation?, 180, 120], [A) 0.067, 10, 1], [B) 0.0067, -10, 0], [C) 670, -10, 0], [D) 6 700, -10, 0]
[According to history; the first pandemic was the “Spanish flu”; also known as the 1918 flu pandemic which killed about 10 million people. What is 10 million in scientific notation?, 180, 120], [A) 1 x 10^7, 10, 1], [B) 1 x 10^5, -10, 0], [C) 2 x 10^8, -10, 0], [D) 1 x 10^6, -10, 0]
[The planet Mercury has an estimated distance of 1.35 x 10^8 miles from the Sun. How far is Mercury from the Sun in standard notation?, 180, 120], [A) 135 000 000 miles, 10, 1], [B) 13 500 000 miles, -10, 0], [C) 1 350 000 miles, -10, 0], [D) 13 500 miles, -10, 0]
[Which of the following has the negative exponent on the 10 when converted into scientific notation?, 180, 120], [A) 0.00089, 10, 1], [B) 800 009, -10, 0], [C) -8 000, -10, 0], [D) 89, -10, 0]
[In his first month at school; Dave saved P128.00. At the next month at school; Dave saved P152.00. Then he donated P105.00 of his savings. How much money does Jim have left now?, 180, 120], [A) P175.00, 10, 1], [B) P165.00, -10, 0], [C) P185.00, -10, 0], [D) P155.00, -10, 0]
[Christine spent P2 100 for shoes. This was P700 less than twice what she spent for a blouse. How much was the blouse?, 180, 120], [A) P1 400, 10, 1], [B) P1 600, -10, 0], [C) P1 200, -10, 0], [D) P1 000, -10, 0]
[Today; Berto’s age (B) is 4 times Carlo's age. In 4 years; what will Charlie's age be in terms of B?, 180, 120], [A) B/4 + 4, 10, 1], [B) B+4 / 4, -10, 0], [C) 4(B+4), -10, 0], [D) 4B+4, -10, 0]
[An ant moves forward 21.2 inches in one hour. It turns around and crawls 15.3 inches in the next hour. Finally; in the third hour; it turns around again and crawls 6.4 more inches. How much forward progress did the ant make in 3 hours?, 180, 120], [A) 12.3 inches, 10, 1], [B) 11.3 inches, -10, 0], [C) 10.3 inches, -10, 0], [D) 9.3 inches, -10, 0]
[A class of 50 students is divided into two groups; one group has eight less than the other; how many are in each group?, 180, 120], [A) 21 & 29, 10, 1], [B) 22 & 28, -10, 0], [C) 23 & 27, -10, 0], [D) 24 & 26, -10, 0]
[Perform the given: (sqrt of 322)^2, 180, 120], [A) 322, 10, 1], [B) 103 684, -10, 0], [C) 105 284, -10, 0], [D) 106 884, -10, 0]
[Perform the given: sqrt of 36 × sqrt of 202 ^ 2, 180, 120], [A) 1212, 10, 1], [B) 240, -10, 0], [C) 160, -10, 0], [D) 1 024, -10, 0]
[Perform the given: sqrt of (16 + 0) + sqrt of 16, 180, 120], [A) 8, 10, 1], [B) 6, -10, 0], [C) 4, -10, 0], [D) 10, -10, 0]
[Perform the given: sqrt of (0/10) / sqrt of 64, 180, 120], [A) 0, 10, 1], [B) 0.5, -10, 0], [C) 1, -10, 0], [D) 2, -10, 0]
[Perform the given: Sqrt of ( 7 x 7 ) / sqrt of 49, 180, 120], [A) 1, 10, 1], [B) 2, -10, 0], [C) 0.5, -10, 0], [D) 3, -10, 0]
[Perform the given: (sqrt of 37^2) ^ 2, 180, 120], [A) 1 296, -10, 1], [B) 1 369, 10, 0], [C) 1 444, -10, 0], [D) 1 521, -10, 0]
[Perform the given: sqrt of (51-26) + sqrt of 25, 180, 120], [A) 10, 10, 1], [B) 11, -10, 0], [C) 12, -10, 0], [D) 13, -10, 0]
[Perform the given: sqrt of (44/11) x sqrt of 4, 180, 120], [A) 4, 10, 1], [B) 8, -10, 0], [C) 16, -10, 0], [D) 32, -10, 0]
[Perform the given: sqrt of (6/6) ^ 2, 180, 120], [A) 1, 10, 1], [B) 2, -10, 0], [C) 0.5, -10, 0], [D) 3, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 217, 180, 120], [A) 14.731, 10, 1], [B) 14.730, -10, 0], [C) 14.732, -10, 0], [D) 14.729, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 55, 180, 120], [A) 7.416, 10, 1], [B) 7.415, -10, 0], [C) 7.417, -10, 0], [D) 7.414, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 163, 180, 120], [A) 12.767, 10, 1], [B) 12.766, -10, 0], [C)12.768, -10, 0], [D) 12.765, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 146, 180, 120], [A) 12.083, 10, 1], [B) 12.082, -10, 0], [C) 12.084, -10, 0], [D) 12.081, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 102, 180, 120], [A) 10.1, 10, 1], [B) 10.099, -10, 0], [C) 10.101, -10, 0], [D) 10.098, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 188, 180, 120], [A) 13.711, 10, 1], [B) 13.710, -10, 0], [C) 13.712, -10, 0], [D) 13.709, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 65, 180, 120], [A) 8.062, 10, 1], [B) 8.061, -10, 0], [C) 8.063, -10, 0], [D) 8.060, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 7., 180, 120], [A) 2.646, 10, 1], [B) 2.645, -10, 0], [C) 2.647, -10, 0], [D) 2.644, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 84, 180, 120], [A) 9.165, 10, 1], [B) 9.164, -10, 0], [C) 9.166, -10, 0], [D) 9.163, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 111, 180, 120], [A) 10.536, 10, 1], [B) 10.535, -10, 0], [C) 10.537, -10, 0], [D) 10.534, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 52, 180, 120], [A) 7.211, 10, 1], [B) 7.210, -10, 0], [C) 7.212, -10, 0], [D) 7.209, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 274, 180, 120], [A) 16.553, 10, 1], [B) 16.552, -10, 0], [C) 16.554, -10, 0], [D) 16.551, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 91, 180, 120], [A) 9.539, 10, 1], [B) 9.538, -10, 0], [C) 9.540, -10, 0], [D) 9.537, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 130, 180, 120], [A) 11.402, 10, 1], [B) 11.401, -10, 0], [C) 11.403, -10, 0], [D) 11.400, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 110., 180, 120], [A) 10.488, 10, 1], [B) 10.487, -10, 0], [C) 10.489, -10, 0], [D) 10.486, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 176., 180, 120], [A) 13.266, 10, 1], [B) 13.265, -10, 0], [C) 13.267, -10, 0], [D) 13.264, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 47., 180, 120], [A) 6.856, 10, 1], [B) 6.854, -10, 0], [C) 6.855, -10, 0], [D) 6.853, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 93., 180, 120], [A) 9.644, 10, 1], [B) 9.642, -10, 0], [C) 9.643, -10, 0], [D) 9.641, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 175., 180, 120], [A) 13.229, 10, 1], [B) 13.227, -10, 0], [C) 13.228, -10, 0], [D) 13.226, -10, 0]
[Solve. Round the answers to 3 decimals. sqrt of 63., 180, 120], [A) 7.937, 10, 1], [B) 7.936, -10, 0], [C) 7.938, -10, 0], [D) 7.935, -10, 0]
[In a bag full of small balls 1/4 of these balls are green. 1/8 are blue 1/12 are yellow and the remaining 26 white. How many balls are blue?, 180, 120], [A) 6 balls, 10, 1], [B) 7 balls, -10, 0], [C) 5 balls, -10, 0], [D) 8 balls, -10, 0]
[In a school 50% of the students are younger than 10. 1/20 are 10 years old and 1/10 are older than 10 but younger than 12. The remaining 70 students are 12 years or older. How many students are 10 years old?, 180, 120], [A) 10, 10, 1], [B) 12, -10, 0], [C) 11, -10, 0], [D) 13, -10, 0]
[Linda spent 3/4 of her savings on furniture and the rest on a TV. If the TV cost her $200 what were her original savings?, 180, 120], [A) 800, 10, 1], [B) 900, -10, 0], [C) 700, -10, 0], [D) 1 000, -10, 0]
[In a class test containing 15 questions 4 marks are given for each correct answer and -2 marks are given for every incorrect answer. James attempts all the questions but only 9 of his answers are correct. What is his total score?, 180, 120], [A) 6, 10, 1], [B) 7, -10, 0], [C) 8, -10, 0], [D) 10, -10, 0]
[The product of a rational number and its reciprocal is __________., 180, 120], [A) 1, 10, 1], [B) 0, -10, 0], [C) -1, -10, 0], [D) undefined, -10, 0]
[Zero has __________ reciprocal., 180, 120], [A) No, 10, 1], [B) 0, -10, 0], [C) -1, -10, 0], [D) undefined, -10, 0]
[The numbers __________ and __________ are their own reciprocals., 180, 120], [A) 1; -1, 10, 1], [B) 0; -1, -10, 0], [C) 1; 0, -10, 0], [D) 0; 1, -10, 0]
[Zero is __________ the reciprocal of any number., 180, 120], [A) Not, 10, 1], [B) 0, -10, 0], [C) -1, -10, 0], [D) undefined, -10, 0]
[The reciprocal of a where a ≠ 0 is __________., 180, 120], [A) 1/a, 10, 1], [B) a, -10, 0], [C) -a, -10, 0], [D) undefined, -10, 0]
